source_id,target_id,direction
5,0,unidirectional
6,0,unidirectional
7,0,unidirectional
8,0,unidirectional
9,0,unidirectional
0,10,unidirectional
1,10,unidirectional
2,10,unidirectional
3,10,unidirectional
4,10,unidirectional
0,1,unidirectional
1,0,unidirectional
2,0,unidirectional
3,0,unidirectional
4,0,unidirectional
0,11,unidirectional
1,11,unidirectional
2,11,unidirectional
3,11,unidirectional
4,11,unidirectional
5,1,unidirectional
6,1,unidirectional
7,1,unidirectional
8,1,unidirectional
9,1,unidirectional
0,4,unidirectional
1,14,unidirectional
2,1,unidirectional
3,13,unidirectional
4,2,unidirectional
5,2,unidirectional
6,2,unidirectional
7,3,unidirectional
8,2,unidirectional
9,2,unidirectional
8,12,bidirectional
