source_id,target_id,direction
10,0,bidirectional
11,0,bidirectional
12,0,bidirectional
13,0,bidirectional
14,0,bidirectional
10,1,bidirectional
10,2,bidirectional
10,3,bidirectional
10,4,bidirectional
10,5,bidirectional
11,5,bidirectional
12,5,bidirectional
13,5,bidirectional
14,5,bidirectional
10,6,bidirectional
10,7,bidirectional
10,8,bidirectional
10,9,bidirectional
10,15,bidirectional
11,15,bidirectional
12,15,bidirectional
13,15,bidirectional
14,15,bidirectional
10,16,bidirectional
10,17,bidirectional
10,18,bidirectional
10,19,bidirectional
12,16,bidirectional
14,4,bidirectional
