source_id,target_id,direction
15,0,unidirectional
16,0,unidirectional
17,0,unidirectional
18,0,unidirectional
19,0,unidirectional
5,10,unidirectional
6,10,unidirectional
7,10,unidirectional
8,10,unidirectional
9,10,unidirectional
10,0,unidirectional
11,0,unidirectional
12,0,unidirectional
13,0,unidirectional
14,0,unidirectional
5,20,unidirectional
6,20,unidirectional
7,20,unidirectional
8,20,unidirectional
9,20,unidirectional
0,5,unidirectional
1,5,unidirectional
2,5,unidirectional
3,5,unidirectional
4,5,unidirectional
5,11,unidirectional
6,11,unidirectional
7,11,unidirectional
8,11,unidirectional
9,11,unidirectional
5,21,unidirectional
6,21,unidirectional
7,21,unidirectional
8,21,unidirectional
9,21,unidirectional
10,1,unidirectional
11,1,unidirectional
12,1,unidirectional
13,1,unidirectional
14,1,unidirectional
15,1,unidirectional
16,1,unidirectional
17,1,unidirectional
18,1,unidirectional
19,1,unidirectional
0,7,unidirectional
1,9,unidirectional
2,7,unidirectional
3,9,unidirectional
4,6,unidirectional
5,12,unidirectional
6,14,unidirectional
7,24,unidirectional
8,14,unidirectional
9,14,unidirectional
10,4,unidirectional
11,2,unidirectional
12,3,unidirectional
13,2,unidirectional
14,4,unidirectional
15,4,unidirectional
16,2,unidirectional
17,2,unidirectional
18,2,unidirectional
19,3,unidirectional
17,22,bidirectional
8,23,unidirectional
