source_id,target_id,direction
0,10,unidirectional
1,10,unidirectional
2,10,unidirectional
3,10,unidirectional
4,10,unidirectional
0,5,bidirectional
1,5,bidirectional
2,5,bidirectional
3,5,bidirectional
4,5,bidirectional
0,6,bidirectional
0,7,bidirectional
0,8,bidirectional
0,9,bidirectional
0,11,unidirectional
1,11,unidirectional
2,11,unidirectional
3,11,unidirectional
4,11,unidirectional
0,14,unidirectional
1,14,unidirectional
2,13,unidirectional
3,14,unidirectional
4,14,unidirectional
4,12,unidirectional
