source_id,target_id,direction
0,5,unidirectional
1,5,unidirectional
2,5,unidirectional
3,5,unidirectional
4,5,unidirectional
0,6,unidirectional
1,6,unidirectional
2,6,unidirectional
3,6,unidirectional
4,6,unidirectional
5,6,unidirectional
6,5,unidirectional
7,5,unidirectional
8,5,unidirectional
9,5,unidirectional
10,0,unidirectional
11,0,unidirectional
12,0,unidirectional
13,0,unidirectional
14,0,unidirectional
0,7,unidirectional
1,8,unidirectional
2,9,unidirectional
3,9,unidirectional
4,9,unidirectional
5,7,unidirectional
6,7,unidirectional
7,8,unidirectional
8,9,unidirectional
9,7,unidirectional
10,4,unidirectional
11,1,unidirectional
12,3,unidirectional
13,2,unidirectional
14,2,unidirectional
