source_id,target_id,direction
0,5,unidirectional
1,5,unidirectional
2,5,unidirectional
3,5,unidirectional
4,5,unidirectional
5,15,unidirectional
6,15,unidirectional
7,15,unidirectional
8,15,unidirectional
9,15,unidirectional
10,0,unidirectional
11,0,unidirectional
12,0,unidirectional
13,0,unidirectional
14,0,unidirectional
0,8,unidirectional
1,6,unidirectional
2,7,unidirectional
3,9,unidirectional
4,6,unidirectional
5,18,unidirectional
6,16,unidirectional
7,16,unidirectional
8,16,unidirectional
9,18,unidirectional
10,1,unidirectional
11,3,unidirectional
12,2,unidirectional
13,4,unidirectional
14,1,unidirectional
