source_id,target_id,direction
15,20,unidirectional
16,20,unidirectional
17,20,unidirectional
18,20,unidirectional
19,20,unidirectional
15,21,unidirectional
16,21,unidirectional
17,21,unidirectional
18,21,unidirectional
19,21,unidirectional
15,25,bidirectional
16,25,bidirectional
17,25,bidirectional
18,25,bidirectional
19,25,bidirectional
25,20,unidirectional
26,20,unidirectional
27,20,unidirectional
28,20,unidirectional
29,20,unidirectional
5,15,unidirectional
6,15,unidirectional
7,15,unidirectional
8,15,unidirectional
9,15,unidirectional
15,22,unidirectional
16,22,unidirectional
17,22,unidirectional
18,22,unidirectional
19,22,unidirectional
5,16,unidirectional
6,16,unidirectional
7,16,unidirectional
8,16,unidirectional
9,16,unidirectional
15,23,unidirectional
16,23,unidirectional
17,23,unidirectional
18,23,unidirectional
19,23,unidirectional
5,17,unidirectional
6,17,unidirectional
7,17,unidirectional
8,17,unidirectional
9,17,unidirectional
15,26,bidirectional
16,26,bidirectional
17,26,bidirectional
18,26,bidirectional
19,26,bidirectional
25,21,unidirectional
26,21,unidirectional
27,21,unidirectional
28,21,unidirectional
29,21,unidirectional
5,10,unidirectional
6,10,unidirectional
7,10,unidirectional
8,10,unidirectional
9,10,unidirectional
10,15,unidirectional
11,15,unidirectional
12,15,unidirectional
13,15,unidirectional
14,15,unidirectional
15,24,unidirectional
16,24,unidirectional
17,24,unidirectional
18,24,unidirectional
19,24,unidirectional
5,11,unidirectional
6,11,unidirectional
7,11,unidirectional
8,11,unidirectional
9,11,unidirectional
10,16,unidirectional
11,16,unidirectional
12,16,unidirectional
13,16,unidirectional
14,16,unidirectional
5,12,unidirectional
6,12,unidirectional
7,12,unidirectional
8,12,unidirectional
9,12,unidirectional
10,17,unidirectional
11,17,unidirectional
12,17,unidirectional
13,17,unidirectional
14,17,unidirectional
15,27,bidirectional
16,27,bidirectional
17,27,bidirectional
18,27,bidirectional
19,27,bidirectional
25,22,unidirectional
26,22,unidirectional
27,22,unidirectional
28,22,unidirectional
29,22,unidirectional
5,13,unidirectional
6,13,unidirectional
7,13,unidirectional
8,13,unidirectional
9,13,unidirectional
10,0,unidirectional
11,0,unidirectional
12,0,unidirectional
13,0,unidirectional
14,0,unidirectional
0,15,unidirectional
1,15,unidirectional
2,15,unidirectional
3,15,unidirectional
4,15,unidirectional
5,14,unidirectional
6,14,unidirectional
7,14,unidirectional
8,14,unidirectional
9,14,unidirectional
10,1,unidirectional
11,1,unidirectional
12,1,unidirectional
13,1,unidirectional
14,1,unidirectional
0,16,unidirectional
1,16,unidirectional
2,16,unidirectional
3,16,unidirectional
4,16,unidirectional
10,2,unidirectional
11,2,unidirectional
12,2,unidirectional
13,2,unidirectional
14,2,unidirectional
0,17,unidirectional
1,17,unidirectional
2,17,unidirectional
3,17,unidirectional
4,17,unidirectional
15,28,bidirectional
16,28,bidirectional
17,28,bidirectional
18,28,bidirectional
19,28,bidirectional
25,23,unidirectional
26,23,unidirectional
27,23,unidirectional
28,23,unidirectional
29,23,unidirectional
10,18,unidirectional
11,18,unidirectional
12,18,unidirectional
13,18,unidirectional
14,18,unidirectional
10,19,unidirectional
11,19,unidirectional
12,19,unidirectional
13,19,unidirectional
14,19,unidirectional
15,29,bidirectional
16,29,bidirectional
17,29,bidirectional
18,29,bidirectional
19,29,bidirectional
25,24,unidirectional
26,24,unidirectional
27,24,unidirectional
28,24,unidirectional
29,24,unidirectional
10,3,unidirectional
11,3,unidirectional
12,3,unidirectional
13,3,unidirectional
14,3,unidirectional
0,18,unidirectional
1,18,unidirectional
2,18,unidirectional
3,18,unidirectional
4,18,unidirectional
10,4,unidirectional
11,4,unidirectional
12,4,unidirectional
13,4,unidirectional
14,4,unidirectional
0,19,unidirectional
1,19,unidirectional
2,19,unidirectional
3,19,unidirectional
4,19,unidirectional
25,15,bidirectional
26,15,bidirectional
27,15,bidirectional
28,15,bidirectional
29,15,bidirectional
25,16,bidirectional
26,16,bidirectional
27,16,bidirectional
28,16,bidirectional
29,16,bidirectional
5,18,unidirectional
6,18,unidirectional
7,18,unidirectional
8,18,unidirectional
9,18,unidirectional
20,21,unidirectional
21,20,unidirectional
22,20,unidirectional
23,20,unidirectional
24,20,unidirectional
5,19,unidirectional
6,19,unidirectional
7,19,unidirectional
8,19,unidirectional
9,19,unidirectional
20,23,unidirectional
21,23,unidirectional
22,21,unidirectional
23,21,unidirectional
24,21,unidirectional
