source_id,target_id,direction
5,0,unidirectional
6,0,unidirectional
7,0,unidirectional
8,0,unidirectional
9,0,unidirectional
0,1,unidirectional
1,0,unidirectional
2,0,unidirectional
3,0,unidirectional
4,0,unidirectional
5,1,unidirectional
6,1,unidirectional
7,1,unidirectional
8,1,unidirectional
9,1,unidirectional
0,2,unidirectional
1,2,unidirectional
2,1,unidirectional
3,2,unidirectional
4,1,unidirectional
5,2,unidirectional
6,3,unidirectional
7,3,unidirectional
8,2,unidirectional
9,2,unidirectional
