source_id,target_id,direction
0,5,bidirectional
1,5,bidirectional
2,5,bidirectional
3,5,bidirectional
4,5,bidirectional
0,6,bidirectional
0,7,bidirectional
0,8,bidirectional
0,9,bidirectional
0,1,unidirectional
1,0,unidirectional
2,0,unidirectional
3,0,unidirectional
4,0,unidirectional
5,6,unidirectional
6,5,unidirectional
7,5,unidirectional
8,5,unidirectional
9,5,unidirectional
0,4,unidirectional
1,7,bidirectional
2,6,bidirectional
3,9,bidirectional
4,2,unidirectional
5,7,unidirectional
6,8,unidirectional
7,6,unidirectional
8,6,unidirectional
9,8,unidirectional
