source_id,target_id,direction
0,1,unidirectional
73,83,unidirectional
47,48,unidirectional
96,95,unidirectional
74,64,unidirectional
33,43,unidirectional
26,27,unidirectional
59,49,unidirectional
11,1,unidirectional
11,12,unidirectional
5,15,unidirectional
80,81,unidirectional
34,24,unidirectional
34,35,unidirectional
44,43,unidirectional
44,54,unidirectional
13,3,unidirectional
13,14,unidirectional
92,82,unidirectional
88,89,unidirectional
23,22,unidirectional
23,33,unidirectional
67,57,unidirectional
67,68,unidirectional
46,45,unidirectional
39,29,unidirectional
46,56,unidirectional
24,14,unidirectional
99,89,unidirectional
30,40,unidirectional
93,83,unidirectional
78,68,unidirectional
72,71,unidirectional
57,56,unidirectional
92,91,unidirectional
53,43,unidirectional
53,54,unidirectional
38,28,unidirectional
72,62,unidirectional
32,22,unidirectional
17,7,unidirectional
45,46,unidirectional
86,85,unidirectional
86,96,unidirectional
71,70,unidirectional
64,54,unidirectional
64,65,unidirectional
65,64,unidirectional
65,75,unidirectional
43,33,unidirectional
28,18,unidirectional
24,25,unidirectional
63,53,unidirectional
42,41,unidirectional
3,4,unidirectional
76,75,unidirectional
93,94,unidirectional
38,39,unidirectional
17,27,unidirectional
79,89,unidirectional
72,73,unidirectional
57,58,unidirectional
57,47,unidirectional
51,50,unidirectional
51,61,unidirectional
36,35,unidirectional
92,93,unidirectional
14,4,unidirectional
71,81,unidirectional
89,79,unidirectional
49,39,unidirectional
15,14,unidirectional
50,60,unidirectional
68,58,unidirectional
47,46,unidirectional
82,81,unidirectional
82,92,unidirectional
43,44,unidirectional
22,32,unidirectional
61,60,unidirectional
78,79,unidirectional
63,64,unidirectional
57,67,unidirectional
42,52,unidirectional
35,36,unidirectional
1,0,unidirectional
1,11,unidirectional
97,98,unidirectional
84,83,unidirectional
76,86,unidirectional
36,46,unidirectional
21,20,unidirectional
21,31,unidirectional
55,54,unidirectional
55,65,unidirectional
75,85,unidirectional
75,74,unidirectional
68,69,unidirectional
15,25,unidirectional
91,81,unidirectional
91,92,unidirectional
28,29,unidirectional
7,6,unidirectional
7,17,unidirectional
34,33,unidirectional
26,25,unidirectional
82,83,unidirectional
61,71,unidirectional
5,4,unidirectional
88,87,unidirectional
25,24,unidirectional
18,8,unidirectional
25,35,unidirectional
14,15,unidirectional
84,85,unidirectional
41,31,unidirectional
41,42,unidirectional
20,10,unidirectional
47,57,unidirectional
95,85,unidirectional
95,96,unidirectional
