source_id,target_id,direction
10,0,unidirectional
11,0,unidirectional
12,0,unidirectional
13,0,unidirectional
14,0,unidirectional
5,0,bidirectional
6,0,bidirectional
7,0,bidirectional
8,0,bidirectional
9,0,bidirectional
5,1,bidirectional
5,2,bidirectional
5,3,bidirectional
5,4,bidirectional
15,10,unidirectional
16,10,unidirectional
17,10,unidirectional
18,10,unidirectional
19,10,unidirectional
0,1,unidirectional
1,0,unidirectional
2,0,unidirectional
3,0,unidirectional
4,0,unidirectional
10,2,unidirectional
11,3,unidirectional
12,4,unidirectional
13,4,unidirectional
14,1,unidirectional
6,4,bidirectional
7,3,bidirectional
8,3,bidirectional
9,2,bidirectional
15,13,unidirectional
16,13,unidirectional
17,14,unidirectional
18,13,unidirectional
19,13,unidirectional
0,4,unidirectional
1,2,unidirectional
2,1,unidirectional
3,1,unidirectional
4,3,unidirectional
