source_id,target_id,direction
0,5,unidirectional
1,5,unidirectional
2,5,unidirectional
3,5,unidirectional
4,5,unidirectional
5,10,unidirectional
6,10,unidirectional
7,10,unidirectional
8,10,unidirectional
9,10,unidirectional
10,0,unidirectional
11,0,unidirectional
12,0,unidirectional
13,0,unidirectional
14,0,unidirectional
0,6,unidirectional
1,9,unidirectional
2,9,unidirectional
3,8,unidirectional
4,9,unidirectional
5,13,unidirectional
6,13,unidirectional
7,11,unidirectional
8,13,unidirectional
9,12,unidirectional
10,1,unidirectional
11,1,unidirectional
12,4,unidirectional
13,2,unidirectional
14,4,unidirectional
