source_id,target_id,direction
10,0,unidirectional
11,0,unidirectional
12,0,unidirectional
13,0,unidirectional
14,0,unidirectional
0,15,unidirectional
1,15,unidirectional
2,15,unidirectional
3,15,unidirectional
4,15,unidirectional
10,1,unidirectional
11,1,unidirectional
12,1,unidirectional
13,1,unidirectional
14,1,unidirectional
0,5,unidirectional
1,5,unidirectional
2,5,unidirectional
3,5,unidirectional
4,5,unidirectional
10,15,unidirectional
11,15,unidirectional
12,15,unidirectional
13,15,unidirectional
14,15,unidirectional
0,16,unidirectional
1,16,unidirectional
2,16,unidirectional
3,16,unidirectional
4,16,unidirectional
0,6,unidirectional
1,6,unidirectional
2,6,unidirectional
3,6,unidirectional
4,6,unidirectional
0,1,unidirectional
1,0,unidirectional
2,0,unidirectional
3,0,unidirectional
4,0,unidirectional
0,17,unidirectional
1,17,unidirectional
2,17,unidirectional
3,17,unidirectional
4,17,unidirectional
0,7,unidirectional
1,7,unidirectional
2,7,unidirectional
3,7,unidirectional
4,7,unidirectional
10,11,unidirectional
11,10,unidirectional
12,10,unidirectional
13,10,unidirectional
14,10,unidirectional
10,2,unidirectional
11,2,unidirectional
12,2,unidirectional
13,2,unidirectional
14,2,unidirectional
10,16,unidirectional
11,16,unidirectional
12,16,unidirectional
13,16,unidirectional
14,16,unidirectional
0,18,unidirectional
1,9,unidirectional
2,8,unidirectional
3,2,unidirectional
4,8,unidirectional
10,3,unidirectional
11,4,unidirectional
12,17,unidirectional
13,3,unidirectional
14,19,unidirectional
