source_id,target_id,direction
10,0,unidirectional
11,0,unidirectional
12,0,unidirectional
13,0,unidirectional
14,0,unidirectional
0,5,bidirectional
1,5,bidirectional
2,5,bidirectional
3,5,bidirectional
4,5,bidirectional
0,6,bidirectional
0,7,bidirectional
0,8,bidirectional
0,9,bidirectional
10,1,unidirectional
11,1,unidirectional
12,1,unidirectional
13,1,unidirectional
14,1,unidirectional
1,6,bidirectional
2,6,bidirectional
3,9,bidirectional
4,9,bidirectional
10,3,unidirectional
11,4,unidirectional
12,4,unidirectional
13,4,unidirectional
14,3,unidirectional
