source_id,target_id,direction
5,0,bidirectional
6,0,bidirectional
7,0,bidirectional
8,0,bidirectional
9,0,bidirectional
10,0,bidirectional
11,0,bidirectional
12,0,bidirectional
13,0,bidirectional
14,0,bidirectional
15,10,unidirectional
16,10,unidirectional
17,10,unidirectional
18,10,unidirectional
19,10,unidirectional
10,1,bidirectional
11,1,bidirectional
12,1,bidirectional
13,1,bidirectional
14,1,bidirectional
15,0,unidirectional
16,0,unidirectional
17,0,unidirectional
18,0,unidirectional
19,0,unidirectional
0,5,bidirectional
1,5,bidirectional
2,5,bidirectional
3,5,bidirectional
4,5,bidirectional
0,6,bidirectional
0,7,bidirectional
0,8,bidirectional
0,9,bidirectional
0,10,bidirectional
1,10,bidirectional
2,10,bidirectional
3,10,bidirectional
4,10,bidirectional
0,11,bidirectional
0,12,bidirectional
0,13,bidirectional
0,14,bidirectional
15,11,unidirectional
16,11,unidirectional
17,11,unidirectional
18,11,unidirectional
19,11,unidirectional
15,1,unidirectional
16,1,unidirectional
17,1,unidirectional
18,1,unidirectional
19,1,unidirectional
1,11,bidirectional
2,11,bidirectional
3,13,bidirectional
4,6,bidirectional
15,13,unidirectional
16,12,unidirectional
17,14,unidirectional
18,4,unidirectional
19,3,unidirectional
