source_id,target_id,direction
5,10,unidirectional
6,10,unidirectional
7,10,unidirectional
8,10,unidirectional
9,10,unidirectional
10,15,unidirectional
11,15,unidirectional
12,15,unidirectional
13,15,unidirectional
14,15,unidirectional
15,20,unidirectional
16,20,unidirectional
17,20,unidirectional
18,20,unidirectional
19,20,unidirectional
10,16,unidirectional
11,16,unidirectional
12,16,unidirectional
13,16,unidirectional
14,16,unidirectional
15,21,unidirectional
16,21,unidirectional
17,21,unidirectional
18,21,unidirectional
19,21,unidirectional
0,5,unidirectional
1,5,unidirectional
2,5,unidirectional
3,5,unidirectional
4,5,unidirectional
5,11,unidirectional
6,11,unidirectional
7,11,unidirectional
8,11,unidirectional
9,11,unidirectional
10,17,unidirectional
11,17,unidirectional
12,17,unidirectional
13,17,unidirectional
14,17,unidirectional
15,22,unidirectional
16,22,unidirectional
17,22,unidirectional
18,22,unidirectional
19,22,unidirectional
0,20,unidirectional
1,20,unidirectional
2,20,unidirectional
3,20,unidirectional
4,20,unidirectional
15,23,unidirectional
16,23,unidirectional
17,23,unidirectional
18,23,unidirectional
19,23,unidirectional
0,6,unidirectional
1,6,unidirectional
2,6,unidirectional
3,6,unidirectional
4,6,unidirectional
0,21,unidirectional
1,21,unidirectional
2,21,unidirectional
3,21,unidirectional
4,21,unidirectional
5,12,unidirectional
6,12,unidirectional
7,12,unidirectional
8,12,unidirectional
9,12,unidirectional
10,18,unidirectional
11,18,unidirectional
12,18,unidirectional
13,18,unidirectional
14,18,unidirectional
15,24,unidirectional
16,24,unidirectional
17,24,unidirectional
18,24,unidirectional
19,24,unidirectional
0,24,unidirectional
1,24,unidirectional
2,9,unidirectional
3,24,unidirectional
4,7,unidirectional
5,14,unidirectional
6,14,unidirectional
7,14,unidirectional
8,13,unidirectional
9,13,unidirectional
10,19,unidirectional
11,19,unidirectional
12,19,unidirectional
13,19,unidirectional
14,19,unidirectional
