source_id,target_id,direction
10,15,unidirectional
11,15,unidirectional
12,15,unidirectional
13,15,unidirectional
14,15,unidirectional
5,15,unidirectional
6,15,unidirectional
7,15,unidirectional
8,15,unidirectional
9,15,unidirectional
0,15,unidirectional
1,15,unidirectional
2,15,unidirectional
3,15,unidirectional
4,15,unidirectional
0,16,unidirectional
1,16,unidirectional
2,16,unidirectional
3,16,unidirectional
4,16,unidirectional
5,16,unidirectional
6,16,unidirectional
7,16,unidirectional
8,16,unidirectional
9,16,unidirectional
10,16,unidirectional
11,16,unidirectional
12,16,unidirectional
13,16,unidirectional
14,16,unidirectional
0,19,unidirectional
1,18,unidirectional
2,19,unidirectional
3,19,unidirectional
4,17,unidirectional
5,18,unidirectional
6,17,unidirectional
7,17,unidirectional
8,17,unidirectional
9,18,unidirectional
10,18,unidirectional
11,19,unidirectional
12,18,unidirectional
13,18,unidirectional
14,19,unidirectional
