source_id,target_id,direction
5,10,unidirectional
6,10,unidirectional
7,10,unidirectional
8,10,unidirectional
9,10,unidirectional
10,0,bidirectional
11,0,bidirectional
12,0,bidirectional
13,0,bidirectional
14,0,bidirectional
5,0,bidirectional
6,0,bidirectional
7,0,bidirectional
8,0,bidirectional
9,0,bidirectional
5,1,bidirectional
6,1,bidirectional
7,1,bidirectional
8,1,bidirectional
9,1,bidirectional
0,10,bidirectional
1,10,bidirectional
2,10,bidirectional
3,10,bidirectional
4,10,bidirectional
0,11,bidirectional
0,12,bidirectional
0,13,bidirectional
0,14,bidirectional
0,5,bidirectional
1,5,bidirectional
2,5,bidirectional
3,5,bidirectional
4,5,bidirectional
0,6,bidirectional
0,7,bidirectional
0,8,bidirectional
0,9,bidirectional
5,11,unidirectional
6,11,unidirectional
7,11,unidirectional
8,11,unidirectional
9,11,unidirectional
1,14,bidirectional
2,11,bidirectional
3,14,bidirectional
4,9,bidirectional
5,14,unidirectional
6,14,unidirectional
7,14,unidirectional
8,13,unidirectional
9,14,unidirectional
