source_id,target_id,direction
5,0,unidirectional
6,0,unidirectional
7,0,unidirectional
8,0,unidirectional
9,0,unidirectional
15,0,unidirectional
16,0,unidirectional
17,0,unidirectional
18,0,unidirectional
19,0,unidirectional
0,10,bidirectional
1,10,bidirectional
2,10,bidirectional
3,10,bidirectional
4,10,bidirectional
0,11,bidirectional
0,12,bidirectional
0,13,bidirectional
0,14,bidirectional
0,20,bidirectional
1,20,bidirectional
2,20,bidirectional
3,20,bidirectional
4,20,bidirectional
0,21,bidirectional
0,22,bidirectional
0,23,bidirectional
0,24,bidirectional
5,1,unidirectional
6,1,unidirectional
7,1,unidirectional
8,1,unidirectional
9,1,unidirectional
15,1,unidirectional
16,1,unidirectional
17,1,unidirectional
18,1,unidirectional
19,1,unidirectional
1,13,bidirectional
2,22,bidirectional
3,13,bidirectional
4,14,bidirectional
5,2,unidirectional
6,3,unidirectional
7,4,unidirectional
8,3,unidirectional
9,3,unidirectional
15,4,unidirectional
16,3,unidirectional
17,4,unidirectional
18,4,unidirectional
19,3,unidirectional
