source_id,target_id,direction
16,19,unidirectional
16,170,unidirectional
16,169,unidirectional
17,162,unidirectional
17,20,unidirectional
18,172,unidirectional
18,170,unidirectional
19,166,unidirectional
20,165,unidirectional
20,161,unidirectional
161,165,unidirectional
161,19,unidirectional
162,19,unidirectional
162,168,unidirectional
163,175,unidirectional
163,174,unidirectional
163,163,unidirectional
164,173,unidirectional
164,19,unidirectional
164,163,unidirectional
165,174,unidirectional
165,19,unidirectional
165,161,unidirectional
166,17,unidirectional
166,19,unidirectional
166,18,unidirectional
167,18,unidirectional
167,16,unidirectional
168,169,unidirectional
169,163,unidirectional
170,173,unidirectional
171,166,unidirectional
171,164,unidirectional
172,170,unidirectional
172,161,unidirectional
172,164,unidirectional
173,16,unidirectional
173,171,unidirectional
174,172,unidirectional
174,168,unidirectional
174,175,unidirectional
175,162,unidirectional
175,171,unidirectional
175,170,unidirectional
