source_id,target_id,direction
0,5,bidirectional
1,5,bidirectional
2,5,bidirectional
3,5,bidirectional
4,5,bidirectional
0,6,bidirectional
1,6,bidirectional
2,6,bidirectional
3,6,bidirectional
4,6,bidirectional
0,1,unidirectional
1,0,unidirectional
2,0,unidirectional
3,0,unidirectional
4,0,unidirectional
0,7,bidirectional
1,7,bidirectional
2,7,bidirectional
3,7,bidirectional
4,7,bidirectional
0,8,bidirectional
0,9,bidirectional
0,3,unidirectional
1,2,unidirectional
2,4,unidirectional
3,4,unidirectional
4,3,unidirectional
