source_id,target_id,direction
0,1,unidirectional
1,0,unidirectional
2,0,unidirectional
3,0,unidirectional
4,0,unidirectional
0,5,unidirectional
1,5,unidirectional
2,5,unidirectional
3,5,unidirectional
4,5,unidirectional
5,6,unidirectional
6,5,unidirectional
7,5,unidirectional
8,5,unidirectional
9,5,unidirectional
0,2,unidirectional
1,3,unidirectional
2,9,unidirectional
3,7,unidirectional
4,2,unidirectional
5,9,unidirectional
6,9,unidirectional
7,8,unidirectional
8,6,unidirectional
9,6,unidirectional
