source_id,target_id,direction
1,50,unidirectional
1,48,unidirectional
2,76,unidirectional
2,81,unidirectional
2,89,unidirectional
3,83,unidirectional
3,11,unidirectional
4,67,unidirectional
4,24,unidirectional
4,96,unidirectional
5,28,unidirectional
5,98,unidirectional
6,51,unidirectional
6,100,unidirectional
7,70,unidirectional
8,4,unidirectional
9,1,unidirectional
9,26,unidirectional
10,49,unidirectional
11,18,unidirectional
11,55,unidirectional
11,40,unidirectional
12,87,unidirectional
13,84,unidirectional
13,92,unidirectional
14,58,unidirectional
14,61,unidirectional
14,30,unidirectional
15,90,unidirectional
16,100,unidirectional
16,81,unidirectional
17,90,unidirectional
17,71,unidirectional
18,60,unidirectional
18,19,unidirectional
18,86,unidirectional
19,74,unidirectional
20,53,unidirectional
20,12,unidirectional
21,82,unidirectional
22,97,unidirectional
22,61,unidirectional
23,84,unidirectional
23,48,unidirectional
23,67,unidirectional
24,73,unidirectional
24,13,unidirectional
25,69,unidirectional
25,66,unidirectional
25,28,unidirectional
26,85,unidirectional
27,2,unidirectional
27,49,unidirectional
27,83,unidirectional
28,6,unidirectional
28,97,unidirectional
29,16,unidirectional
30,27,unidirectional
31,62,unidirectional
31,67,unidirectional
31,16,unidirectional
32,63,unidirectional
32,8,unidirectional
33,76,unidirectional
34,45,unidirectional
35,70,unidirectional
35,99,unidirectional
36,28,unidirectional
36,5,unidirectional
36,91,unidirectional
37,89,unidirectional
37,64,unidirectional
37,52,unidirectional
38,64,unidirectional
38,1,unidirectional
39,33,unidirectional
39,98,unidirectional
40,25,unidirectional
40,82,unidirectional
40,87,unidirectional
41,92,unidirectional
41,76,unidirectional
42,79,unidirectional
42,9,unidirectional
42,66,unidirectional
43,8,unidirectional
43,97,unidirectional
43,86,unidirectional
44,2,unidirectional
45,57,unidirectional
45,67,unidirectional
46,30,unidirectional
46,34,unidirectional
46,67,unidirectional
47,84,unidirectional
47,62,unidirectional
48,27,unidirectional
49,1,unidirectional
49,27,unidirectional
50,15,unidirectional
50,28,unidirectional
50,100,unidirectional
51,2,unidirectional
52,12,unidirectional
52,16,unidirectional
52,62,unidirectional
53,10,unidirectional
53,27,unidirectional
54,27,unidirectional
55,79,unidirectional
55,56,unidirectional
55,48,unidirectional
56,56,unidirectional
56,28,unidirectional
56,43,unidirectional
57,46,unidirectional
58,17,unidirectional
58,80,unidirectional
58,72,unidirectional
59,93,unidirectional
60,83,unidirectional
61,64,unidirectional
62,49,unidirectional
62,20,unidirectional
62,56,unidirectional
63,18,unidirectional
63,16,unidirectional
63,33,unidirectional
64,43,unidirectional
65,74,unidirectional
65,17,unidirectional
66,81,unidirectional
67,86,unidirectional
67,3,unidirectional
68,39,unidirectional
68,26,unidirectional
69,82,unidirectional
69,1,unidirectional
70,41,unidirectional
70,75,unidirectional
71,8,unidirectional
72,3,unidirectional
72,92,unidirectional
72,56,unidirectional
73,14,unidirectional
73,38,unidirectional
74,22,unidirectional
74,20,unidirectional
75,35,unidirectional
75,53,unidirectional
75,13,unidirectional
76,6,unidirectional
76,58,unidirectional
76,35,unidirectional
77,68,unidirectional
78,6,unidirectional
79,5,unidirectional
80,12,unidirectional
80,21,unidirectional
81,51,unidirectional
81,16,unidirectional
82,65,unidirectional
82,44,unidirectional
82,37,unidirectional
83,51,unidirectional
84,18,unidirectional
84,45,unidirectional
84,70,unidirectional
85,13,unidirectional
86,75,unidirectional
87,48,unidirectional
87,83,unidirectional
88,97,unidirectional
89,91,unidirectional
89,33,unidirectional
90,22,unidirectional
90,24,unidirectional
90,44,unidirectional
91,2,unidirectional
91,45,unidirectional
92,53,unidirectional
93,46,unidirectional
93,73,unidirectional
94,14,unidirectional
95,10,unidirectional
96,93,unidirectional
97,74,unidirectional
97,82,unidirectional
97,31,unidirectional
98,10,unidirectional
98,79,unidirectional
99,88,unidirectional
99,37,unidirectional
100,46,unidirectional
