source_id,target_id,direction
10,0,unidirectional
11,0,unidirectional
12,0,unidirectional
13,0,unidirectional
14,0,unidirectional
0,15,unidirectional
1,15,unidirectional
2,15,unidirectional
3,15,unidirectional
4,15,unidirectional
10,5,unidirectional
11,5,unidirectional
12,5,unidirectional
13,5,unidirectional
14,5,unidirectional
5,0,bidirectional
6,0,bidirectional
7,0,bidirectional
8,0,bidirectional
9,0,bidirectional
0,16,unidirectional
1,16,unidirectional
2,16,unidirectional
3,16,unidirectional
4,16,unidirectional
0,17,unidirectional
1,17,unidirectional
2,17,unidirectional
3,17,unidirectional
4,17,unidirectional
0,5,bidirectional
1,5,bidirectional
2,5,bidirectional
3,5,bidirectional
4,5,bidirectional
0,6,bidirectional
0,7,bidirectional
0,8,bidirectional
0,9,bidirectional
0,18,unidirectional
1,18,unidirectional
2,18,unidirectional
3,18,unidirectional
4,18,unidirectional
10,1,unidirectional
11,1,unidirectional
12,1,unidirectional
13,1,unidirectional
14,1,unidirectional
10,6,unidirectional
11,6,unidirectional
12,6,unidirectional
13,6,unidirectional
14,6,unidirectional
0,19,unidirectional
1,6,bidirectional
2,19,unidirectional
3,7,bidirectional
4,9,bidirectional
10,7,unidirectional
11,4,unidirectional
12,3,unidirectional
13,9,unidirectional
14,2,unidirectional
