source_id,target_id,direction
0,5,unidirectional
1,5,unidirectional
2,5,unidirectional
3,5,unidirectional
4,5,unidirectional
0,1,unidirectional
1,0,unidirectional
2,0,unidirectional
3,0,unidirectional
4,0,unidirectional
0,6,unidirectional
1,6,unidirectional
2,6,unidirectional
3,6,unidirectional
4,6,unidirectional
5,6,unidirectional
6,5,unidirectional
7,5,unidirectional
8,5,unidirectional
9,5,unidirectional
0,3,unidirectional
1,4,unidirectional
2,1,unidirectional
3,8,unidirectional
4,7,unidirectional
5,7,unidirectional
6,9,unidirectional
7,6,unidirectional
8,9,unidirectional
9,7,unidirectional
