source_id,target_id,direction
0,10,unidirectional
1,10,unidirectional
2,10,unidirectional
3,10,unidirectional
4,10,unidirectional
10,5,unidirectional
11,5,unidirectional
12,5,unidirectional
13,5,unidirectional
14,5,unidirectional
5,15,unidirectional
6,15,unidirectional
7,15,unidirectional
8,15,unidirectional
9,15,unidirectional
0,11,unidirectional
1,11,unidirectional
2,11,unidirectional
3,11,unidirectional
4,11,unidirectional
10,6,unidirectional
11,6,unidirectional
12,6,unidirectional
13,6,unidirectional
14,6,unidirectional
5,20,unidirectional
6,20,unidirectional
7,20,unidirectional
8,20,unidirectional
9,20,unidirectional
5,16,unidirectional
6,16,unidirectional
7,16,unidirectional
8,16,unidirectional
9,16,unidirectional
5,21,unidirectional
6,21,unidirectional
7,21,unidirectional
8,21,unidirectional
9,21,unidirectional
0,12,unidirectional
1,12,unidirectional
2,12,unidirectional
3,12,unidirectional
4,12,unidirectional
10,7,unidirectional
11,7,unidirectional
12,7,unidirectional
13,7,unidirectional
14,7,unidirectional
5,17,unidirectional
6,17,unidirectional
7,17,unidirectional
8,17,unidirectional
9,17,unidirectional
5,22,unidirectional
6,22,unidirectional
7,22,unidirectional
8,22,unidirectional
9,22,unidirectional
0,13,unidirectional
1,14,unidirectional
2,14,unidirectional
3,14,unidirectional
4,13,unidirectional
5,18,unidirectional
6,19,unidirectional
7,23,unidirectional
8,23,unidirectional
9,23,unidirectional
10,9,unidirectional
11,8,unidirectional
12,9,unidirectional
13,9,unidirectional
14,8,unidirectional
4,24,bidirectional
