source_id,target_id,direction
0,15,unidirectional
1,15,unidirectional
2,15,unidirectional
3,15,unidirectional
4,15,unidirectional
15,20,unidirectional
16,20,unidirectional
17,20,unidirectional
18,20,unidirectional
19,20,unidirectional
10,15,unidirectional
11,15,unidirectional
12,15,unidirectional
13,15,unidirectional
14,15,unidirectional
15,21,unidirectional
16,21,unidirectional
17,21,unidirectional
18,21,unidirectional
19,21,unidirectional
0,16,unidirectional
1,16,unidirectional
2,16,unidirectional
3,16,unidirectional
4,16,unidirectional
5,15,unidirectional
6,15,unidirectional
7,15,unidirectional
8,15,unidirectional
9,15,unidirectional
10,16,unidirectional
11,16,unidirectional
12,16,unidirectional
13,16,unidirectional
14,16,unidirectional
15,22,unidirectional
16,22,unidirectional
17,22,unidirectional
18,22,unidirectional
19,22,unidirectional
20,5,unidirectional
21,5,unidirectional
22,5,unidirectional
23,5,unidirectional
24,5,unidirectional
0,19,unidirectional
1,19,unidirectional
2,18,unidirectional
3,19,unidirectional
4,19,unidirectional
5,17,unidirectional
6,19,unidirectional
7,16,unidirectional
8,19,unidirectional
9,17,unidirectional
10,18,unidirectional
11,19,unidirectional
12,17,unidirectional
13,19,unidirectional
14,18,unidirectional
15,24,unidirectional
16,23,unidirectional
17,24,unidirectional
18,24,unidirectional
19,24,unidirectional
20,9,unidirectional
21,9,unidirectional
22,6,unidirectional
23,6,unidirectional
24,9,unidirectional
