source_id,target_id,direction
5,0,bidirectional
6,0,bidirectional
7,0,bidirectional
8,0,bidirectional
9,0,bidirectional
0,5,bidirectional
1,5,bidirectional
2,5,bidirectional
3,5,bidirectional
4,5,bidirectional
0,6,bidirectional
0,7,bidirectional
0,8,bidirectional
0,9,bidirectional
0,1,unidirectional
1,0,unidirectional
2,0,unidirectional
3,0,unidirectional
4,0,unidirectional
5,6,unidirectional
6,5,unidirectional
7,5,unidirectional
8,5,unidirectional
9,5,unidirectional
0,3,unidirectional
1,8,bidirectional
2,4,unidirectional
3,8,bidirectional
4,1,unidirectional
5,7,unidirectional
6,8,unidirectional
7,6,unidirectional
8,6,unidirectional
9,8,unidirectional
