source_id,target_id,direction
5,0,bidirectional
6,0,bidirectional
7,0,bidirectional
8,0,bidirectional
9,0,bidirectional
5,1,bidirectional
6,1,bidirectional
7,1,bidirectional
8,1,bidirectional
9,1,bidirectional
0,5,bidirectional
1,5,bidirectional
2,5,bidirectional
3,5,bidirectional
4,5,bidirectional
0,6,bidirectional
0,7,bidirectional
0,8,bidirectional
0,9,bidirectional
0,10,bidirectional
1,10,bidirectional
2,10,bidirectional
3,10,bidirectional
4,10,bidirectional
0,11,bidirectional
0,12,bidirectional
0,13,bidirectional
0,14,bidirectional
1,6,bidirectional
2,7,bidirectional
3,8,bidirectional
4,7,bidirectional
