source_id,target_id,direction
5,10,unidirectional
6,10,unidirectional
7,10,unidirectional
8,10,unidirectional
9,10,unidirectional
0,10,unidirectional
1,10,unidirectional
2,10,unidirectional
3,10,unidirectional
4,10,unidirectional
0,11,unidirectional
1,11,unidirectional
2,11,unidirectional
3,11,unidirectional
4,11,unidirectional
5,11,unidirectional
6,11,unidirectional
7,11,unidirectional
8,11,unidirectional
9,11,unidirectional
10,11,unidirectional
11,10,unidirectional
12,10,unidirectional
13,10,unidirectional
14,10,unidirectional
0,13,unidirectional
1,13,unidirectional
2,12,unidirectional
3,13,unidirectional
4,13,unidirectional
5,14,unidirectional
6,13,unidirectional
7,13,unidirectional
8,13,unidirectional
9,14,unidirectional
10,12,unidirectional
11,13,unidirectional
12,14,unidirectional
13,11,unidirectional
14,12,unidirectional
