source_id,target_id,direction
0,5,unidirectional
1,5,unidirectional
2,5,unidirectional
3,5,unidirectional
4,5,unidirectional
5,10,unidirectional
6,10,unidirectional
7,10,unidirectional
8,10,unidirectional
9,10,unidirectional
0,6,unidirectional
1,6,unidirectional
2,6,unidirectional
3,6,unidirectional
4,6,unidirectional
5,11,unidirectional
6,11,unidirectional
7,11,unidirectional
8,11,unidirectional
9,11,unidirectional
0,7,unidirectional
1,9,unidirectional
2,7,unidirectional
3,9,unidirectional
4,9,unidirectional
5,14,unidirectional
6,14,unidirectional
7,13,unidirectional
8,14,unidirectional
9,14,unidirectional
1,12,bidirectional
