source_id,target_id,direction
0,5,unidirectional
1,5,unidirectional
2,5,unidirectional
3,5,unidirectional
4,5,unidirectional
5,10,unidirectional
6,10,unidirectional
7,10,unidirectional
8,10,unidirectional
9,10,unidirectional
0,6,unidirectional
1,6,unidirectional
2,6,unidirectional
3,6,unidirectional
4,6,unidirectional
5,11,unidirectional
6,11,unidirectional
7,11,unidirectional
8,11,unidirectional
9,11,unidirectional
0,8,unidirectional
1,8,unidirectional
2,8,unidirectional
3,8,unidirectional
4,9,unidirectional
5,12,unidirectional
6,13,unidirectional
7,13,unidirectional
8,14,unidirectional
9,13,unidirectional
